,gender,department,department_name,division,assignment_category,employee_position_title,date_first_hired,year_first_hired
0,F,POL,Department of Police,MSB Information Mgmt and Tech Division Records Management Section,Fulltime-Regular,Office Services Coordinator,09/22/1986,1986
1,M,POL,Department of Police,ISB Major Crimes Division Fugitive Section,Fulltime-Regular,Master Police Officer,09/12/1988,1988
2,F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker IV,11/19/1989,1989
3,M,COR,Correction and Rehabilitation,PRRS Facility and Security,Fulltime-Regular,Resident Supervisor II,05/05/2014,2014
4,M,HCA,Department of Housing and Community Affairs,Affordable Housing Programs,Fulltime-Regular,Planning Specialist III,03/05/2007,2007
5,M,POL,Department of Police,PSB 6th District Special Assignment Team,Fulltime-Regular,Police Officer III,07/16/2007,2007
6,F,FRS,Fire and Rescue Services,EMS Billing,Fulltime-Regular,Accountant/Auditor II,06/27/2016,2016
7,M,HHS,Department of Health and Human Services,Head Start,Fulltime-Regular,Administrative Specialist II,11/17/2014,2014
8,M,FRS,Fire and Rescue Services,Recruit Training,Fulltime-Regular,Firefighter/Rescuer I (Recruit),12/12/2016,2016
9,F,POL,Department of Police,FSB Traffic Division Automated Traffic Enforcement Section,Fulltime-Regular,Police Aide,02/05/2007,2007
10,M,DGS,Department of General Services,Facilities Maintenance,Fulltime-Regular,Electrician I,01/13/2014,2014
11,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,04/28/2002,2002
12,F,HHS,Department of Health and Human Services,STD and HIV Services,Parttime-Regular,Medical Doctor III - Physician,12/01/2003,2003
13,M,DOT,Department of Transportation,Transit Nicholson Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
14,M,DOT,Department of Transportation,Transportation Management,Fulltime-Regular,Traffic Management Technician I,12/14/2015,2015
15,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Communications Specialist I,02/22/2016,2016
16,F,HHS,Department of Health and Human Services,Adult Protective and Case Management Services,Fulltime-Regular,Social Worker III,06/26/2006,2006
17,M,DTS,Department of Technology Services,ERP Technical Support,Fulltime-Regular,Senior Information Technology Specialist,03/07/2005,2005
18,F,LIB,Department of Public Libraries,Olney Library,Fulltime-Regular,Library Assistant I,01/26/2000,2000
19,M,LIB,Department of Public Libraries,Long Branch Library,Parttime-Regular,Library Assistant I,11/22/2010,2010
20,F,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,06/30/2014,2014
21,F,POL,Department of Police,FSB Traffic Division School Safety Section,Parttime-Regular,Crossing Guard,03/08/2004,2004
22,F,HHS,Department of Health and Human Services,Community Support Network for People with Disabilities,Parttime-Regular,Office Clerk,05/04/2010,2010
23,,REC,Department of Recreation,Neighborhood Senior Centers - Northern,Fulltime-Regular,Recreation Specialist,12/27/2016,2016
24,M,DGS,Department of General Services,Fleet Automotive Heavy Equipment,Fulltime-Regular,Mechanic Technician II,04/16/2007,2007
25,M,FIN,Department of Finance,Information Technology,Fulltime-Regular,Manager II,12/12/2005,2005
26,M,DLC,Department of Liquor Control,Kingsview,Parttime-Regular,Liquor Store Clerk I,03/28/2016,2016
27,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,03/05/2000,2000
28,M,POL,Department of Police,MSB Information Management and Technology Division,Fulltime-Regular,Information Technology Technician III,10/20/2014,2014
29,F,CCL,County Council,Council Central Staff,Fulltime-Regular,Information Technology Specialist III,12/26/2006,2006
30,M,DLC,Department of Liquor Control,Beer Warehouse Operations,Fulltime-Regular,Supply Technician II,10/10/2007,2007
31,F,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Supervisor,01/16/1990,1990
32,F,POL,Department of Police,MSB Personnel Division,Parttime-Regular,Police Cadet,02/15/2015,2015
33,M,DLC,Department of Liquor Control,Kensington,Parttime-Regular,Liquor Store Clerk I,06/15/2015,2015
34,M,POL,Department of Police,ISB Criminal Investigations Division Financial Crimes Section,Fulltime-Regular,Police Officer III,07/21/2003,2003
35,F,DGS,Department of General Services,Central Duplicating,Fulltime-Regular,Imaging Operator II,09/06/2016,2016
36,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,07/16/2012,2012
37,M,CEC,Community Engagement Cluster,Community Partnerships,Fulltime-Regular,Director Office of Community Partnerships,03/19/2007,2007
38,M,DTS,Department of Technology Services,ETSD Telephone Services,Fulltime-Regular,Telecommunications Technician,10/07/2013,2013
39,M,DLC,Department of Liquor Control,"Licensure, Regulation and Education",Fulltime-Regular,Alcohol/Tobacco Enforcement Specialist II,11/10/2008,2008
40,M,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,02/07/1999,1999
41,F,POL,Department of Police,MSB Management and Budget Division,Fulltime-Regular,Administrative Specialist III,11/24/2008,2008
42,M,FRS,Fire and Rescue Services,Station 16,Fulltime-Regular,Firefighter/Rescuer III,10/09/2006,2006
43,M,DGS,Department of General Services,Facilities,Fulltime-Regular,Office Services Coordinator,12/16/1996,1996
44,M,SHF,Sheriff's Office,Court and Transport,Fulltime-Regular,Deputy Sheriff III,09/29/1997,1997
45,F,DOT,Department of Transportation,Transit Silver Spring Ride On,Fulltime-Regular,Bus Operator,09/28/2015,2015
46,F,DPS,Department of Permitting Services,Central Services Unit,Fulltime-Regular,Administrative Specialist II,01/03/1988,1988
47,F,POL,Department of Police,MSB Communications Division,Fulltime-Regular,Public Safety Emergency Communications Supervisor,08/05/1996,1996
48,F,HHS,Department of Health and Human Services,Emergency Housing Assistance,Fulltime-Regular,Community Services Aide III,08/03/1992,1992
49,M,DTS,Department of Technology Services,ETSD Radio Communications Services,Fulltime-Regular,Manager III,07/16/2012,2012
50,F,COR,Correction and Rehabilitation,DS MCCF Unit 3 Security,Fulltime-Regular,Correctional Officer III (Corporal),11/28/2005,2005
51,F,DLC,Department of Liquor Control,Clarksburg Village,Parttime-Regular,Liquor Store Clerk I,11/09/2012,2012
52,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,03/02/2008,2008
53,M,DOT,Department of Transportation,Transit Gaithersburg Ride On,Fulltime-Regular,Bus Operator,05/27/2014,2014
54,M,DLC,Department of Liquor Control,Flower Avenue,Parttime-Regular,Liquor Store Clerk I,12/01/2014,2014
55,F,HHS,Department of Health and Human Services,Income Supports,Fulltime-Regular,Income Assistance Program Specialist II,05/14/2007,2007
56,F,DLC,Department of Liquor Control,Goshen Crossing,Parttime-Regular,Liquor Store Clerk I,07/28/2013,2013
57,M,DOT,Department of Transportation,Highway Administration,Fulltime-Regular,Highway Inspector II,04/14/1996,1996
58,F,HHS,Department of Health and Human Services,Adult Protective Services - Nurse Assessment,Fulltime-Regular,Community Health Nurse II,09/17/2007,2007
59,F,DLC,Department of Liquor Control,IT Administration,Fulltime-Regular,Information Technology Specialist III,07/18/1999,1999
60,M,HHS,Department of Health and Human Services,Medical Assistance Eligibility Services,Fulltime-Regular,Income Assistance Program Specialist II,10/19/1988,1988
61,F,HHS,Department of Health and Human Services,Permanent Supportive Housing,Fulltime-Regular,Social Worker II,05/18/1988,1988
62,F,HHS,Department of Health and Human Services,Home Care Services,Fulltime-Regular,Community Services Aide III,03/14/1994,1994
63,M,DOT,Department of Transportation,Transportation Technical Center,Fulltime-Regular,Traffic Field Service Technician II,11/26/1979,1979
