,current_annual_salary
0,69222.18
1,97392.47
2,104717.28
3,52734.57
4,93396.0
5,70435.0
6,60300.0
7,64788.65
8,45261.0
9,47670.09
10,63492.87
11,58671.02
12,152343.2
13,46626.87
14,40631.32
15,41220.18
16,97190.31
17,118400.0
18,55139.66
19,18881.74
20,42053.83
21,21766.2
22,17269.0
23,58000.0
24,65699.03
25,156516.65
26,27805.44
27,62836.91
28,53148.66
29,87758.24
30,38953.38
31,97912.0
32,16049.0
33,28772.07
34,86588.0
35,40000.0
36,45048.5
37,176837.0
38,73801.0
39,80980.21
40,64141.0
41,70671.77
42,68015.0
43,58867.29
44,85405.0
45,40631.32
46,86673.48
47,93396.0
48,72445.29
49,123803.77
50,67384.0
51,29779.06
52,46626.08
53,42053.83
54,29779.09
55,54272.21
56,29779.06
57,78402.89
58,94373.24
59,107657.0
60,83497.98
61,96197.88
62,76015.03
63,63067.93
64,46325.18
65,110886.71
66,42792.0
67,95263.92
68,60501.0
69,110886.71
70,18247.04
71,93396.0
72,68940.72
73,74426.11
74,80947.6
75,57300.0
76,28461.33
77,64827.88
78,58455.0
79,58322.67
80,73810.48
81,51355.01
82,46626.87
83,70319.8
84,228383.0
85,50785.5
86,58605.82
87,37838.73
88,88980.92
89,48258.81
90,46626.87
91,28772.17
92,49336.78
93,48503.69
94,44753.0
95,62903.0
96,29779.07
97,65623.0
98,29779.07
99,48258.81
100,40452.28
101,68131.46
102,42792.0
103,93396.0
104,69744.0
105,93396.0
106,41270.12
107,63345.0
108,42053.42
109,67206.0
110,61035.5
111,89952.79
112,78413.21
113,59315.72
114,56947.99
115,39257.31
116,24134.31
117,100849.36
118,74146.46
119,72967.96
120,62903.0
121,184314.0
122,89079.0
123,69218.79
124,95362.44
125,29779.06
126,42053.42
127,61917.2
128,114087.02
129,96763.35
130,84974.0
131,56387.0
132,50910.0
133,118400.0
134,46626.87
135,72902.0
136,97392.47
137,37838.46
138,102664.0
139,52416.7
140,49831.0
141,92202.64
142,63493.0
143,51355.84
144,97074.01
145,45151.08
146,65752.0
147,91139.47
148,45049.12
149,120768.0
150,66639.25
151,40631.32
152,76852.0
153,80561.66
154,77328.0
155,118400.0
156,87523.22
157,112266.0
158,63493.0
159,70595.53
160,78387.85
161,86721.89
162,40631.32
163,76649.68
164,70866.46
165,14976.0
166,61725.0
167,56990.0
168,69222.18
169,50910.0
170,78096.0
171,64141.0
172,74424.0
173,49118.0
174,102664.0
175,72497.95
176,62678.98
177,72534.66
178,53788.0
179,46698.0
180,58360.55
181,61035.5
182,100908.32
183,48593.64
184,78096.0
185,63067.93
186,92229.93
187,65486.66
188,88700.01
189,35552.39
190,29779.07
191,53034.52
192,97912.0
193,70435.0
194,50211.0
195,95263.92
196,44853.06
197,64141.0
198,76139.65
199,96763.35
200,44727.53
201,39262.4
202,95414.08
203,105743.92
204,62279.48
205,66065.23
206,102664.0
207,54605.45
208,82632.68
209,97392.47
210,45261.0
211,66971.24
212,147847.62
213,69790.0
214,60402.79
215,155693.29
216,101176.43
217,102664.0
218,71429.48
219,42053.42
220,35411.29
221,62903.0
222,47863.07
223,104717.28
224,80378.16
225,53932.54
226,99597.0
227,50699.16
228,40631.32
229,88859.0
230,39257.31
231,60051.29
232,83611.44
233,78096.0
234,132782.98
235,36707.05
236,77287.31
237,50211.0
238,40631.32
239,91532.0
240,30542.07
241,78895.54
242,83658.0
243,87298.39
244,33395.15
245,56990.0
246,95475.0
247,50396.48
248,92756.7
249,67081.0
250,44753.0
251,75453.0
252,73801.0
253,54742.92
254,122788.02
255,71835.82
256,58455.0
257,89620.0
258,130842.19
259,23210.03
260,54720.83
261,88859.0
262,40946.22
263,93396.0
264,39163.74
265,101176.43
266,103213.43
267,52563.37
268,50785.5
269,50785.86
270,17793.55
271,97912.0
272,53788.0
273,93258.0
274,40113.28
275,78096.0
276,112930.4
277,78446.81
278,92362.0
279,85405.0
280,51969.0
281,57244.34
282,44300.0
283,58657.24
284,69054.01
285,65752.0
286,43525.12
287,41123.09
288,46626.87
289,71796.52
290,58944.22
291,43525.13
292,107128.71
293,23682.83
294,43525.72
295,98027.49
296,113316.0
297,76566.35
298,89620.0
299,99792.0
300,45151.08
301,104717.28
302,51941.91
303,90738.67
304,51576.21
305,50910.0
306,40946.23
307,75943.0
308,57773.8
309,107657.0
310,68595.41
311,55328.0
312,29779.06
313,86673.48
314,42053.83
315,112899.0
316,43425.63
317,112899.0
318,50396.48
319,121653.95
320,151424.07
321,40631.32
322,56231.86
323,93396.0
324,61408.0
325,68054.0
326,53085.58
327,65128.02
328,65530.0
329,49949.26
330,70024.58
331,93396.0
332,89222.7
333,72902.0
334,45048.5
335,59638.0
336,56580.0
337,56520.51
338,69222.18
339,116491.69
340,36797.13
341,51958.37
342,62482.02
343,29779.06
344,40200.0
345,92756.7
346,91969.07
347,55476.56
348,57650.92
349,91532.0
350,40631.32
351,119032.41
352,72902.0
353,86673.48
354,49831.0
355,73801.0
356,95315.03
357,67452.24
358,55122.12
359,77029.0
360,56690.07
361,65766.88
362,89620.0
363,59000.0
364,42053.42
365,47940.52
366,60403.27
367,46517.91
368,91751.37
369,119637.66
370,21031.35
371,130051.82
372,49104.65
373,82490.06
374,94098.25
375,90883.0
376,92520.57
377,65623.0
378,45261.0
379,63171.74
380,90450.0
381,69349.64
382,96092.51
383,97000.0
384,53084.69
385,51574.16
386,61394.74
387,125751.08
388,73801.0
389,94413.38
390,62307.71
391,67206.0
392,73801.0
393,48844.15
394,74713.0
395,70435.0
396,88859.0
397,59638.0
398,59242.3
399,57265.0
400,45048.5
401,18247.04
402,64614.65
403,85854.0
404,103506.0
405,81905.7
406,87676.86
407,92756.7
408,34384.11
409,59874.83
410,144472.55
411,83497.98
412,115189.01
413,99036.83
414,67461.19
415,60468.0
416,95265.37
417,43850.22
418,39831.43
419,134371.73
420,96299.77
421,100006.0
422,102664.0
423,94099.0
424,83497.98
425,52693.0
426,89620.0
427,103506.0
428,106456.0
429,97103.07
430,99605.0
431,88436.0
432,61887.61
433,112899.0
434,64854.0
435,140794.0
436,43525.72
437,97190.31
438,126419.79
439,108493.0
440,69222.18
441,56733.0
442,47169.07
443,132163.58
444,90561.14
445,89620.0
446,64141.0
447,61894.52
448,73434.0
449,85405.0
450,61400.19
451,89721.05
452,93396.0
453,106456.0
454,126907.0
455,72902.0
456,160372.0
457,107128.71
458,47736.63
459,175127.0
460,29779.07
461,56478.0
462,58671.02
463,46626.87
464,43525.72
465,39257.0
466,83497.98
467,99870.24
468,39257.31
469,40631.32
470,44757.56
471,43334.91
472,40946.22
473,53788.0
474,62429.35
475,38831.29
476,43422.51
477,43849.84
478,58455.0
479,92756.7
480,119211.02
481,88574.84
482,60260.05
483,118080.06
484,55378.71
485,97560.0
486,72921.0
487,93396.0
488,107657.0
489,58455.0
490,26208.35
491,56478.0
492,21031.35
493,76716.0
494,37839.38
495,102664.0
496,64973.26
497,36707.04
498,51576.21
499,72861.0
500,40631.32
501,79913.17
502,74890.64
503,42053.42
504,92756.7
505,169950.0
506,52701.95
507,78013.13
508,28475.25
509,57807.08
510,44973.26
511,44289.72
512,66065.23
513,50211.0
514,93396.0
515,29779.07
516,58512.07
517,59315.59
518,68054.0
519,66782.46
520,56478.0
521,99501.63
522,107128.71
523,30100.72
524,102664.0
525,18416.04
526,95263.92
527,65644.0
528,58422.0
529,55129.28
530,92756.7
531,89620.0
532,83611.44
533,21031.35
534,120166.52
535,95263.92
536,56715.37
537,39257.0
538,55769.06
539,90917.0
540,33370.04
541,75860.16
542,63492.87
543,135392.0
544,104717.28
545,97912.0
546,120768.0
547,91969.07
548,55139.73
549,72247.14
550,102664.0
551,80902.5
552,29779.07
553,48503.36
554,63067.93
555,93945.0
556,70435.0
557,58455.0
558,57807.08
559,106456.0
560,36832.64
561,56478.0
562,92083.33
563,75277.02
564,97912.0
565,104388.98
566,119986.28
567,62903.0
568,43850.22
569,97278.96
570,107128.71
571,83214.0
572,36180.0
573,79522.62
574,128560.48
575,94427.09
576,89620.0
577,42053.42
578,92756.7
579,83658.0
580,19542.54
581,124175.0
582,99597.0
583,84974.0
584,62903.0
585,51969.0
586,93396.0
587,34531.25
588,52693.0
589,73801.0
590,155403.05
591,156461.43
592,93396.0
593,96486.29
594,69222.18
595,33395.15
596,39257.31
597,52693.0
598,84974.0
599,61035.5
600,118400.0
601,132884.55
602,51574.16
603,47821.87
604,19541.53
605,60201.44
606,35435.11
607,28772.04
608,46972.96
609,85700.5
610,37838.46
611,45049.12
612,92152.37
613,96197.88
614,74095.0
615,100849.36
616,86537.84
617,42053.83
618,56180.97
619,96763.35
620,24978.81
621,15834.05
622,67206.0
623,124054.0
624,81066.0
625,54402.73
626,58323.66
627,170687.0
628,100849.36
629,45048.5
630,84974.0
631,70422.0
632,66154.61
633,71796.0
634,42662.89
635,45048.5
636,24809.11
637,119211.02
638,102664.0
639,42792.0
640,59302.0
641,92490.98
642,71640.83
643,59295.6
644,74701.81
645,61069.42
646,165746.0
